LAT, LON, Covernum, Covername, City fraction, Vegetation fraction, Inland water fraction, sea fraction
52.8478, -8.46444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8519, -8.46361, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.855, -8.46111, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8558, -8.455, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8567, -8.44889, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8589, -8.445, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8625, -8.44333, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8661, -8.44083, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8692, -8.43833, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8719, -8.43528, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.875, -8.43278, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8781, -8.43028, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8822, -8.42917, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8858, -8.4275, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.89, -8.42806, 455, BENE BLACK SEA CROPS1, 0.02, 0.97, 0.01, 0.0
52.8928, -8.43083, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8939, -8.43694, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8942, -8.44444, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8942, -8.45222, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8939, -8.45889, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8942, -8.46639, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8947, -8.47333, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8958, -8.47917, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8978, -8.48361, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8992, -8.48889, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8978, -8.49444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8989, -8.50028, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
52.9031, -8.49917, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
52.9053, -8.49528, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9069, -8.49056, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9072, -8.48389, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9072, -8.47639, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9094, -8.4725, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9111, -8.46778, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9128, -8.46306, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9144, -8.45833, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9167, -8.45444, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9189, -8.45028, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9206, -8.44583, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9225, -8.44111, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
52.9236, -8.43583, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
52.9244, -8.42972, 329, N SPAIN HERBAC MF1, 0.0, 1.0, 0.0, 0.0
52.9256, -8.42417, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9269, -8.41889, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9272, -8.41194, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9267, -8.40667, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9247, -8.40222, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9228, -8.39778, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9222, -8.39111, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
